name	rating	lat	lon	idx	address
Школа № 1543	17	55.65516113075427	37.485723176415036	63	Россия, Москва, улица 26-ти Бакинских Комиссаров, 3, корп. 6
ГБПОУ 1-й МОК	18	55.884198	37.648039	64	Россия, Москва, улица Тихомирова, 6
ГБПОУ 1-й МОК	18	55.88489	37.651696	65	Россия, Москва, улица Тихомирова, 10
Школа № 2007 ФМШ	19	55.54266663436634	37.54371206992612	66	Россия, Москва, Чечёрский проезд, 6
Школа № 2007 ФМШ	19	55.544453035	37.532677011	67	Россия, Москва, улица Горчакова, 9, корп. 1
Курчатовская школа	20	55.794632	37.48628	68	Россия, Москва, улица Маршала Конева, 11
Курчатовская школа	20	55.791543	37.498218	69	Россия, Москва, улица Маршала Бирюзова, 6
Курчатовская школа	20	55.805417	37.482286	70	Россия, Москва, 1-й Пехотный переулок, 4
Курчатовская школа	20	55.797263	37.488546	71	Россия, Москва, улица Маршала Конева, 10
Курчатовская школа	20	55.805084	37.469969	72	Россия, Москва, улица Маршала Василевского, 9, корп. 1
Курчатовская школа	20	55.80489362229934	37.470989945870706	73	Россия, Москва, улица Маршала Василевского, 7, корп. 1
Курчатовская школа	20	55.789967	37.478132	74	Россия, Москва, улица Берзарина, 24
Школа № 1363	21	55.706401	37.823385	75	Россия, Москва, Ташкентский переулок, 7, корп. 3
Школа № 1363	21	55.70983	37.812857	76	Россия, Москва, Сормовская улица, 5
Школа № 1363	21	55.697874	37.820465	77	Россия, Москва, Ферганский проезд, 10, корп. 5
Школа № 1363	21	55.713046	37.806331	78	Россия, Москва, Рязанский проспект, 68, корп. 2
Школа № 1363	21	55.695006275	37.823545538	79	Россия, Москва, Ферганский проезд, 5, корп. 2
Школа № 1363	21	55.708126357	37.82181453	80	Россия, Москва, Рязанский проспект, 80, корп. 4
Школа № 1363	21	55.707528225362765	37.823821305331734	81	Россия, Москва, Рязанский проспект, 82к4
Школа № 1363	21	55.709181	37.816328	82	Россия, Москва, Ташкентская улица, 6
Школа № 1363	21	55.711814	37.805179	83	Россия, Москва, Ферганская улица, 7
Школа № 1363	21	55.700162	37.813693	84	Россия, Москва, Ташкентская улица, 23 корп.3
Школа № 109	22	55.642301138	37.479298798	85	Россия, Москва, Ленинский проспект, 131, корп. 4
Школа № 109	22	55.640847	37.475469	86	Россия, Москва, улица Академика Бакулева, 20
Школа № 1980	23	55.534545	37.532778	87	Россия, Москва, Чечёрский проезд, 42
